lon,lat,psi,u,v,r,id
-73.9319,40.5417,-3.57743e-07,3,0.000251196,5.54691e-08,5741
-73.9726,40.5341,2.61799,3,-0.00538171,-6.56239e-08,4540
-73.9719,40.5347,2.0944,3,-1.27416e-05,-2.22571e-07,4539
-73.9437,40.5371,-0.523599,3,0.000251146,3.38524e-08,4536
-73.9665,40.5425,2.0944,3,-0.00538204,-2.27771e-07,4525
-73.9656,40.5427,1.5708,3,-1.51844e-07,-7.09437e-08,4524
-73.9448,40.5357,-0.523599,3,0.000251157,3.90478e-08,4521
-73.9585,40.5477,2.0944,3,-0.000251209,-6.16153e-08,4518
-73.9385,40.5363,-0.523599,3,0.00538197,1.95069e-07,5266
-73.9576,40.548,1.5708,3,0.00538133,8.90347e-08,4517
-73.9705,40.5369,2.61799,3,-0.00538169,-6.02458e-08,4839
-73.9451,40.5508,2.0944,3,-0.000251147,-3.39448e-08,4488
-73.9694,40.5388,2.61799,3,-0.00538199,-3.24232e-08,4477
-73.9313,40.5428,0.523598,3,3.48927e-07,1.66776e-07,4467
-73.931,40.5421,-6.24576e-07,3,0.00538202,2.2074e-07,4466
-73.9427,40.5385,-0.523599,3,0.000251195,5.77225e-08,4464
-73.9655,40.5414,2.0944,3,-1.23657e-05,-3.28916e-08,4454
-73.9572,40.5286,-0.523599,3,1.2675e-05,1.89457e-07,4448
-73.9469,40.5489,2.61799,3,-0.00538199,-3.23959e-08,4428
-73.9541,40.5288,-0.523599,3,0.000251322,1.16886e-07,4424
-73.9356,40.5401,-4.5035e-07,3,0.000251501,2.15707e-07,4418
-73.9359,40.5393,-0.523599,3,0.00538198,2.97199e-08,4417
-73.9438,40.5546,2.0944,3,-0.00538182,-1.25222e-07,4411
-73.9477,40.5495,2.61799,3,-0.00538199,-3.23574e-08,4406
-73.947,40.55,2.0944,3,-0.000251199,-5.69705e-08,4405
-73.9622,40.5224,-1.0472,3,0.00538171,6.74069e-08,4401
-73.9508,40.533,-0.523599,3,0.000251203,5.81731e-08,4396
-73.9548,40.5281,-6.66636e-08,3,-0.00538138,-1.13952e-07,4385
-73.9594,40.5258,-0.523599,3,1.24349e-05,7.12418e-08,4378
-73.949,40.5298,-0.523599,3,0.00538205,2.34512e-07,5093
-73.9559,40.5267,-7.10931e-08,3,-0.00538156,-2.03702e-07,4373
-73.9562,40.526,-0.523599,3,0.000251166,4.07917e-08,4372
-73.9519,40.5316,-0.523599,3,0.000251165,4.00236e-08,4366
-73.9333,40.5395,-0.523599,3,0.00538173,7.82641e-08,5789
-73.9737,40.5327,2.61799,3,-0.00538171,-6.58512e-08,4358
-73.9514,40.5303,-1.51483e-07,3,1.18888e-07,4.99339e-08,4351
-73.9543,40.5517,2.0944,3,-0.00538133,-9.2935e-08,4349
-73.9533,40.5519,1.5708,3,0.000251227,8.16397e-08,4348
-73.9525,40.5289,-1.7243e-07,3,1.2615e-07,5.81889e-08,4346
-73.9527,40.5282,-0.523599,3,0.00538202,2.18887e-07,4345
-73.9535,40.5275,-1.5964e-07,3,4.42137e-07,2.13609e-07,4343
-73.937,40.5379,-0.523599,3,0.00538176,9.24219e-08,4469
-73.9537,40.5504,1.0472,3,0.00538198,2.00648e-07,4336
-73.958,40.5501,2.0944,3,-0.000251184,-5.23095e-08,4328
-73.957,40.5519,2.0944,3,-0.00538207,-2.42724e-07,4323
-73.9211,40.5648,-4.35234e-07,3,0.00538207,2.44592e-07,5834
-73.956,40.5521,1.5708,3,-3.49446e-07,-1.55031e-07,4322
-73.9641,40.5458,2.61799,3,-0.00538199,-3.24208e-08,5809
-73.9634,40.5447,2.0944,3,-0.000251191,-5.32243e-08,4313
-73.9494,40.5294,-3.39491e-08,3,2.87819e-07,1.2358e-07,4310
-73.9333,40.5411,-4.81993e-07,3,0.00025113,2.27675e-08,4299
-73.9605,40.5457,1.5708,3,0.00538132,8.83333e-08,4292
-73.9562,40.5509,2.0944,3,-0.00025122,-6.99657e-08,4290
-73.9344,40.5397,-5.21363e-07,3,0.000251226,6.97091e-08,4285
-73.9666,40.5413,1.5708,3,-7.87487e-08,-3.051e-08,4279
-73.9577,40.5509,2.61799,3,-0.00538208,-7.56248e-08,4649
-73.9527,40.5273,-1.0472,3,0.00538209,8.22137e-08,4276
-73.9433,40.5333,-0.523599,3,0.00538193,1.7817e-07,4266
-73.9402,40.5349,-0.523599,3,0.00025146,1.7964e-07,5593
-73.9705,40.5374,2.61799,3,-0.00538199,-3.23329e-08,4265
-73.942,40.5354,-3.57204e-07,3,7.70101e-07,7.87579e-08,4255
-73.9422,40.5347,-0.523599,3,0.005382,2.09423e-07,4254
-73.9409,40.5368,-3.56936e-07,3,7.29966e-07,6.07428e-08,4249
-73.9412,40.5361,-0.523599,3,0.00538198,2.02916e-07,4248
-73.9322,40.5425,-4.2307e-07,3,0.000251481,1.89131e-07,4246
-73.9325,40.5417,-0.523599,3,0.00538209,8.25273e-08,4245
-73.9417,40.5346,-3.58353e-07,3,1.49475e-07,5.38921e-08,5629
-73.9401,40.5375,-0.523599,3,0.00538198,2.0284e-07,4236
-73.9665,40.54,2.0944,3,-1.24e-05,-5.05399e-08,4225
-73.9548,40.5266,-0.523599,3,0.00025116,3.71209e-08,5626
-73.9419,40.5476,1.5708,3,-1.24807e-05,-9.39826e-08,4222
-73.9488,40.532,-0.523599,3,0.000251249,8.36613e-08,4199
